whole name,name,address,price level,types,service type,website,phone number,rating,review count,opening hours,Category
Molly's 10010 greater NYC area,Molly's Shebeen Bar + Restaurant,"287 3rd Ave, New York, NY 10010, USA",2.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://www.mollysshebeennyc.com/,(212) 889-3361,4.5,1059.0,"Monday: 11:00 AM – 4:00 AM, Tuesday: 11:00 AM – 4:00 AM, Wednesday: 11:00 AM – 4:00 AM, Thursday: 11:00 AM – 4:00 AM, Friday: 11:00 AM – 4:00 AM, Saturday: 11:00 AM – 4:00 AM, Sunday: 11:00 AM – 4:00 AM",BB3
Nai 10003 greater NYC area,Nai,"84 2nd Ave, New York, NY 10003, USA",2.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://www.nairestaurant.com/,(212) 677-1030,4.5,781.0,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:30 PM, Saturday: 12:00 – 11:30 PM, Sunday: 12:00 – 10:00 PM",BB3
Koshe Poke 10016 greater NYC area,Koshe Poke,"43 E 34th St, New York, NY 10016, USA",2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://koshepoke.com/,(212) 725-3179,3.3,30.0,"Monday: 11:00 AM – 8:00 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 3:00 PM, Saturday: Closed, Sunday: 11:00 AM – 8:00 PM",BB1
outro nyc 10003 greater NYC area,outro nyc,"816 Broadway, New York, NY 10003, USA",2.0,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",Unknown,https://www.outronyc.com/,(212) 994-6771,4.4,472.0,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM",BB2
Summer Salt 10016 greater NYC area,Summer Salt,"275 Madison Ave, New York, NY 10016, USA",1.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://summersaltnyc.com/,(212) 763-3362,4.3,119.0,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",BB1
T.K.K. Fried Chicken 10010 greater NYC area,T.K.K. Fried Chicken,"115 E 23rd St, New York, NY 10010, USA",1.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://www.tkkusa.com/,(646) 476-2013,3.6,375.0,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 12:00 – 8:00 PM, Sunday: 12:00 – 8:00 PM",BB1
Ostrica Wine & Oyster Bar 10016 greater NYC area,Ostrica Wine & Oyster Bar,"530 2nd Ave, New York, NY 10016, USA",,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://ostricanyc.com/,(917) 409-1704,4.4,101.0,"Monday: 4:00 – 11:00 PM, Tuesday: Closed, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 4:00 – 11:00 PM, Sunday: Closed",BB3
Linen Hall Library BT1 5GB greater NYC area,The Linen Hall,"17 Donegall Square N, Belfast BT1 5GB, UK",,"['library', 'cafe', 'museum', 'food', 'point_of_interest', 'establishment']",Unknown,http://www.linenhall.com/,028 9032 1707,4.7,97.0,"Monday: 9:30 AM – 5:30 PM, Tuesday: 9:30 AM – 5:30 PM, Wednesday: 9:30 AM – 5:30 PM, Thursday: 9:30 AM – 5:30 PM, Friday: 9:30 AM – 5:30 PM, Saturday: Closed, Sunday: Closed",BB2
Chef Huang Jian Bing & Peking Duck 10016 greater NYC area,Chef Huang,"635 2nd Ave, New York, NY 10016, USA",2.0,"['meal_takeaway', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",Quick Service,http://www.chefhuangnyc.com/,(646) 918-6065,4.7,248.0,"Monday: Closed, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 10:00 PM, Saturday: 12:00 – 10:00 PM, Sunday: 12:00 – 10:00 PM",BB1
nyposgroup.com  greater NYC area,POS.com,"333 W 39th St 7th Floor, New York, NY 10018, USA",,"['electronics_store', 'store', 'point_of_interest', 'establishment']",Unknown,https://www.pos.com/,(888) 860-8988,4.9,18.0,"Monday: 10:00 AM – 6:00 PM, Tuesday: 10:00 AM – 6:00 PM, Wednesday: 10:00 AM – 6:00 PM, Thursday: 10:00 AM – 6:00 PM, Friday: 10:00 AM – 6:00 PM, Saturday: Closed, Sunday: Closed",Not a restaurant
