Input Name,Place Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform,Review Text,Review Author,Review Rating,Popular Dish/Drink,Intro Email Blurb
Una Pizza Napoletana,Una Pizza Napoletana,"175 Orchard St, New York, NY 10002, USA",2,"restaurant, food, point_of_interest, establishment",BB1,https://unapizza.com/,(646) 476-4457,4.3,694,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 9:00 PM, Saturday: 5:00 – 9:00 PM, Sunday: Closed",,,,,"Let’s keep it simple.

1. Get in line early, the place opens at 5pm and the line starts building at 3:30pm some days. They usually seat the first 30-40 people in line right away. Leave a few tables for reservations then take additional reservations from the rest of folks.

2. Come for the pizza. Just order the pizza. Don’t get worried about desserts or apps or what not. If you’re hungry order another pizza.

3. Be patient. Both the chef and servers are always under pressure to accommodate everyone. Every pizza is touched by the chef, every pizza is going in fresh and coming out fresh just for you. What makes this pizza so great is the freshness from the oven to your plate.

Don’t go if you’re in a rush. Leave your evening open, have a glass of wine, enjoy the interior and cozy up.",Jasraj Singh,5,Margherita,"Here is a draft personal email intro describing my experience at Una Pizza Napoletana with friends:

Last night I met up with a group of friends at Una Pizza Napoletana, where we feasted on Margherita pizza in the cozy, bustling ambiance."
Dhamaka,Dhamaka,"119 Delancey St, New York, NY 10002, USA",3,"restaurant, food, point_of_interest, establishment",BB1,http://dhamaka.nyc/,,4.5,3209,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 5:00 – 10:00 PM",hello@dhamaka.nyc,Toast,,Resy,I loved everything here and hope to come back to try more! The lamb shank briyani is divine and the butter crab makes you dream of it sometimes. Service is fairly fast which is great. Love what this restaurant is doing for Indian cuisine!,Rovik Robert,5,lamb shank briyani,"Here is a draft intro without any romantic implications:

My friends and I recently tried the new Indian restaurant Dhamaka. We ordered the popular lamb shank briyani dish which was absolutely delicious in the cozy, welcoming space."
Dhamaka,Dhamaka,"119 Delancey St, New York, NY 10002, USA",3,"restaurant, food, point_of_interest, establishment",BB1,http://dhamaka.nyc/,,4.5,3209,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 5:00 – 10:00 PM",Enquirieshello@dhamaka.nycMedia,Toast,,Resy,I loved everything here and hope to come back to try more! The lamb shank briyani is divine and the butter crab makes you dream of it sometimes. Service is fairly fast which is great. Love what this restaurant is doing for Indian cuisine!,Rovik Robert,5,lamb shank briyani,"Here is a draft intro without any romantic implications:

My friends and I recently tried the new Indian restaurant Dhamaka. We ordered the popular lamb shank briyani dish which was absolutely delicious in the cozy, welcoming space."
Dhamaka,Dhamaka,"119 Delancey St, New York, NY 10002, USA",3,"restaurant, food, point_of_interest, establishment",BB1,http://dhamaka.nyc/,,4.5,3209,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: 5:00 – 10:00 PM",Enquiriespress@uafoods.nyc,Toast,,Resy,I loved everything here and hope to come back to try more! The lamb shank briyani is divine and the butter crab makes you dream of it sometimes. Service is fairly fast which is great. Love what this restaurant is doing for Indian cuisine!,Rovik Robert,5,lamb shank briyani,"Here is a draft intro without any romantic implications:

My friends and I recently tried the new Indian restaurant Dhamaka. We ordered the popular lamb shank briyani dish which was absolutely delicious in the cozy, welcoming space."
"Cervos, Eel Bar",Cervo's,"43 Canal St, New York, NY 10002, USA",3,"restaurant, point_of_interest, food, establishment",BB1,http://cervosnyc.com/,(212) 226-2545,4.5,457,"Monday: 5:30 – 11:00 PM, Tuesday: 5:30 – 11:00 PM, Wednesday: 5:30 – 11:00 PM, Thursday: 5:30 – 11:00 PM, Friday: 5:30 – 11:00 PM, Saturday: 5:30 – 11:00 PM, Sunday: 5:30 – 11:00 PM",hello@cervosnyc.com,,,Resy,"Delicious dinner!! We had a cute little booth in the back of this diner-esqe fish spot. Has a casual feel but your check will definitely reflect fine dining. And fine dining it is! Each dish was amazing, the crispy shrimp heads, mussels and grilled prawns were table favorites! Also loved the goat cheese flan, the tang was perfectly paired with the sugary burnt sauce. Also weird, but I loved the moody green candle lit restrooms. If you’re in the area definitely pop in but also definitely make a reservation!",E A,5,"Based on the reviews, the most popular/most-mentioned dish seems to be the crispy shrimp heads.","Here is a draft personal email intro about my experience at Cervo's:

My friends and I had the best time trying out this new spot last night - Cervo's had a funky yet cozy vibe and the crispy shrimp heads we ordered were to die for!"
Wildair,Wildair,"142 Orchard St, New York, NY 10002, USA",3,"restaurant, food, point_of_interest, establishment",BB1,http://wildair.nyc/,(646) 964-5624,4.4,526,"Monday: Closed, Tuesday: 5:00 – 10:30 PM, Wednesday: 5:00 – 10:30 PM, Thursday: 5:00 – 10:30 PM, Friday: 5:00 – 11:00 PM, Saturday: 12:00 – 2:30 PM, 5:00 – 11:00 PM, Sunday: 5:00 – 10:00 PM",info@wildair.nyc,,,OpenTable,"As perfect as a wine bar can get in New York - great wine list with some unique selections and great conversations with the staff who love their jobs. Food is spectacular and pairs great, including the beautiful steak they have. Would come back!",Rovik Robert,5,clams in almond milk,"Here is a draft personal-sounding email intro about my experience at Wildair that does not mention any significant others or romantic events:

My friends and I stopped into Wildair last night and really enjoyed the cozy, lively atmosphere and excellent service. We tried the popular clams in almond milk dish which was sublime."
Kisa,Kisa,"205 Allen St, New York, NY 10002, USA",,"restaurant, food, point_of_interest, establishment",BB1,https://www.kisaus.com/,,4.6,289,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Saturday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Sunday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM",press@kisaus.com,,,Resy,"We came in for a late dinner a Sunday night and it was amazing! I got the spicy squid and my partner got the bibimbap and they were both delicious. The side dishes are incredible (the fried chicken is insane), and the whole platter is really filling, and filled with rich flavors. I appreciated the simplicity of the ordering process for their dinner menu - only four options, and you get a the full experience no matter what you order. The atmosphere inside feels elevated yet welcoming. It’s cozy and there is a ton of cool memorabilia on the walls. They also have a self serve tea machine that I’ll have to try next time I come. Finally, the staff are super nice and friendly, and do such a good job! Shout out to Andrew who is an awesome guy and takes great care of his guests! We’ll be back to try their lunch soon.",Ayin Villagra-Brown,5,Bibimbap,"Here is a suggested personal email intro describing an experience at Kisa with friends:

My friends and I had the best time trying Kisa's popular bibimbap dish last weekend! The cozy, retro ambiance was so welcoming and the friendly service made the night even more special."
Kisa,Kisa,"205 Allen St, New York, NY 10002, USA",,"restaurant, food, point_of_interest, establishment",BB1,https://www.kisaus.com/,,4.6,289,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Saturday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM, Sunday: 11:00 AM – 2:30 PM, 5:00 – 11:00 PM",contact@kisaus.com,,,Resy,"We came in for a late dinner a Sunday night and it was amazing! I got the spicy squid and my partner got the bibimbap and they were both delicious. The side dishes are incredible (the fried chicken is insane), and the whole platter is really filling, and filled with rich flavors. I appreciated the simplicity of the ordering process for their dinner menu - only four options, and you get a the full experience no matter what you order. The atmosphere inside feels elevated yet welcoming. It’s cozy and there is a ton of cool memorabilia on the walls. They also have a self serve tea machine that I’ll have to try next time I come. Finally, the staff are super nice and friendly, and do such a good job! Shout out to Andrew who is an awesome guy and takes great care of his guests! We’ll be back to try their lunch soon.",Ayin Villagra-Brown,5,Bibimbap,"Here is a suggested personal email intro describing an experience at Kisa with friends:

My friends and I had the best time trying Kisa's popular bibimbap dish last weekend! The cozy, retro ambiance was so welcoming and the friendly service made the night even more special."
Spicy Moon,Spicy Moon East Village,"328 E 6th St, New York, NY 10003, USA",2,"meal_delivery, restaurant, point_of_interest, food, establishment",BB1,http://www.spicymoonnyc.com/,(646) 429-8471,4.6,864,"Monday: 11:30 AM – 10:00 PM, Tuesday: 11:30 AM – 10:00 PM, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 10:00 PM",,Toast,,Resy,This was an amazing Dine In experience. After telling our waiter that we’re not vegan but considering. With that information he pointed us towards the lunch special. We ordered too much food but it was amazing!  Definitely coming back. Happy New Year!,Allen Wardlaw,5,Dan Dan noodles,"Here is a draft personal email intro based on the details provided:

My friends and I had the best time at Spicy Moon last night! We ordered the Dan Dan noodles which were so flavorful."
Pig and Khao,Pig and Khao,"68 Clinton St, New York, NY 10002, USA",2,"bar, restaurant, point_of_interest, food, establishment",BB3,http://www.pigandkhao.com/,(212) 920-4485,4.3,1437,"Monday: Closed, Tuesday: 5:00 – 9:30 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 11:00 AM – 3:00 PM, 5:00 – 11:00 PM, Sunday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM",,Toast,,OpenTable,"The family meal is fantastic value and I feel like I could bring my parents to eat here and there would be no complaints! My only complaint is the music volume.

The PK wings are beautifully crispy and flavorful, when I come back I will 100% get these again.

The pork sisig is pretty good but I feel like I could consider trying something else next time.

Both noodle dishes are amazingly flavorful and plentiful. I would 100% order then every time I come back

The crispy cauliflower was okay, but not particularly crispy and I feel like the sauce should be thicken so it sticks to the cauliflower.

The Hainanese Duck is cooked very well and tender. The crispy rice is very flavorful and matches the dish very well.

The coco rice is amazing and 100% mandatory.

The mini-doughnuts were paired with a calamansi custard that is perfectly sweet and tart.

100% would come back again!",Khang Tran,5,Sisig,"Here is a draft email intro describing my experience:

My friends and I had such a lovely time enjoying a meal together at Pig and Khao last night. The sisig we ordered was fantastic - perfectly crispy and full of flavor."
